序号,系统名称,一级功能,二级功能,三级功能,基础属性调研汇总,,业务内容调研汇总,,,,,技术内容调研汇总,,,,,,数据资产盘点,,,,部署、架构内容调研汇总,,,,,,,,,,,,用户使用情况,,,,系统安全内容调研汇总,,,,,,,系统运维内容调研汇总,,,,,
,,,,,组件,页面数量,业务场景,业务流程,核心数据来源,核心数据去向,系统交互（与其他系统）,开发框架,开发语言,"架构类型
(CS、BS..)",前端框架,第三方组件,"数据库
类型","数据库
类型",数据库表数量,预估涉及的数据库表数,日增数据量（GB）,CPU/内存/存储资源配置及使用率,"部署方式
（单机、集群）",监控工具,应用编译部署,代码仓库,开发工具,源码管理,应用服务器情况,中间件服务器情况,备份服务器情况,操作系统及版本,平台架构,注册用户量,日累计访问量,现平均访问延时,最大并发量,安全策略,风险评估标准,权限管理机制,数据加密,数据备份,网络防火墙,入侵检测与防御,运维流程,运维工具,告警工具,监控工具,监控指标,当前系统存在的问题和建议
1,中国商品信息服务平台,产品管理,产品添加,添加基本信息,表单、tooltip文字提示、拖拽、日历,1,产品管理负责做什么,什么角色，做了什么事，谁审批,企业录入、工作室录入等,编码中心、监测统计、监控数据大屏,条码微站,"V3:
Asp.net、
.NET MVC、
.NET API

V4:
.NET 5",C#,B/S,"V3:
webForm、MVC、WebService、API、HTML、Jsp

V4：
MVC、VUE、HTML",阿里滑动验证/IdentityServer4/RabbitMQ,SQL server,SQL server,,,,1C/1G/1G,,,"V3
手工打包部署

V4
服务编排：暂无
镜像管理：portainer
镜像库：Nexus
CICD部署工具：Jenkins", Git。GDS.V4,"VS Code、
VS Studio
",gitea,"数量：3

一：互联网、内网192.168.100.165
网络资源：
存储资源：
数据量：
用户规模：

二：互联网、内网192.168.100.106/107
网络资源：
存储资源：
数据量：
用户规模：","名称及数量：ES（2）、Redis（2）、Mongo（2）
网络资源：
存储资源：
数据量：
用户规模：","数量：
网络资源：
存储资源：
数据量：
用户规模：","V3:
windwos server 2008 r2

V4:
CentOS Linux 7 (Core)
",x86_64,,,,,,,,,,,,需要包括：1.日常运维流程2.故障处理流程,,,,,
2,,,,添加商品图片,表单、对话框、附件上传,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,生成商品条码,表单,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,激活二维码,表单,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,产品列表,产品查询,表单、图片、数据表格、分页,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,编辑产品信息,表单,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,激活商品二维码,表单,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,删除产品,确认框,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,产品信息评分,仪表盘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,导出产品列表,表单,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,品牌管理,品牌查询,表单、数据表格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,查看品牌信息,数据表格、tab标签页、分页、图片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,修改品牌信息,表单、对话框、附件上传,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,删除品牌信息,表单、确认框,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,批量上传,批量模板下载,表单,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,数据批量上传,表单、数据表格、对话框、附件上传、分页,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,检验报告,产品查询,表单、数据表格、分页,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,上传检验报告,表单,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,缺失产品,信息补录,表单、分页,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,停止启用,表单、确认框,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,下市产品,表单、确认框,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,用户管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
总计：,,*个,,,,*个,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
